profile	peer_version	transport	result	capture	notes	updated_utc
SEARCH / DESCRIPTION	loopback	UDP 3671	passing		In-tree discovery profile validation	2026-09-07T13:56:23Z
Tunnelling, no Secure	loopback	UDP	passing		In-tree tunnelling loopback lifecycle	2026-09-07T13:56:23Z
Routing indication/control	loopback	UDP multicast	passing		In-tree routing codec pinned to 03/08/05 golden wire vectors	2026-09-07T13:56:23Z
Client <-> in-tree server	loopback	injected UDP transport	passing		In-tree server lifecycle coverage	2026-09-07T13:56:23Z
ETS keyring	xknx 3.20.0 fixtures (ETS 5.7.2, 5.7.5, 5.7.7)	file	passing		Five ETS exports vendored from xknx e68c024e load with every xknx keyring assertion, each decrypted value matched against xknx; [knx][keyring]	2026-09-10T09:42:29Z
IP Secure routing	xknx 3.20.0 SecureGroup	UDP multicast 224.0.23.12 on lo	passing	output/interop/captures/secure-routing-xknx-20260910T103811Z.log	Both directions, one telegram each way; both routers keyed from keyring.knxkeys; script/feature/knx/interop/run-secure-routing-interop.sh xknx	2026-09-10T10:38:11Z
IP Secure routing	Calimero 3.0-M2 on JDK 21	UDP multicast 224.0.23.12:3671 on lo	passing	output/interop/captures/secure-routing-calimero-20260910T103821Z.log	Both directions; Calimero decrypts the backbone key with its own keyring reader; script/feature/knx/interop/run-secure-routing-interop.sh calimero	2026-09-10T10:38:21Z
Tunnelling over TCP	calimero-server 3.0-M2 on JDK 21	TCP 127.0.0.1, virtual TP1 line	passing	output/interop/captures/tcp-tunnelling-calimero-20260910T121949Z.log	In-tree client: connect with TCP HPAIs, a switch-on to 1/2/3 confirmed by L_Data.con, heartbeat, disconnect; script/feature/knx/interop/run-tcp-tunnelling-interop.sh calimero	2026-09-10T12:19:49Z
Tunnelling over TCP	xknx 3.20.0 TCPTunnel	TCP 127.0.0.1	passing	output/interop/captures/tcp-tunnelling-xknx-20260910T121954Z.log	In-tree server: xknx's switch-on to 1/2/3 confirmed, the answer to 1/2/4 received, disconnect acknowledged; script/feature/knx/interop/run-tcp-tunnelling-interop.sh xknx	2026-09-10T12:19:54Z
IP Secure tunnelling (client)	calimero-server 3.0-M2 on JDK 21	TCP 127.0.0.1, virtual TP1 line	passing	output/interop/captures/secure-tunnelling-calimero-20260910T125715Z.log	In-tree secure client, user 2, device authentication verified: session, a switch-on to 1/2/3 confirmed by L_Data.con, heartbeat, keep-alive, disconnect and SESSION_STATUS close; no authentication failures or replays counted. calimero-server logs the close as an invalid session id, having dropped the session at the tunnel's disconnect; script/feature/knx/interop/run-secure-tunnelling-interop.sh calimero	2026-09-10T12:57:15Z
IP Secure tunnelling (server)	xknx 3.20.0 SecureTunnel	TCP 127.0.0.1, description over UDP	passing	output/interop/captures/secure-tunnelling-xknx-20260910T135041Z.log	In-tree secure server keyed from testcase.knxkeys (host 1.0.0): xknx reads the description, whose SECURED_SERVICE_FAMILIES block names tunnelling, opens a session as user 3 of tunnel 1.0.1 from the same keyring and is given 1.0.1; its switch-on to 1/2/3 confirmed, the answer to 1/2/4 received, disconnect and SESSION_STATUS close; one session opened, no authentication failures, replays or unencrypted frames counted; script/feature/knx/interop/run-secure-tunnelling-interop.sh xknx	2026-09-10T13:50:41Z
Data Secure group	xknx 3.20.0 DataSecure	UDP multicast 224.0.23.12 on lo, inside KNX IP Secure routing	passing	output/interop/captures/data-secure-routing-xknx-20260910T142245Z.log	Both routers keyed from keyring.knxkeys: the in-tree router (1.1.12) sends a secured switch-on to 1/1/1 that xknx takes as Data Secure, and opens xknx's secured switch-off from 1.1.1; no authentication failures, missing keys or unencrypted frames counted; script/feature/knx/interop/run-data-secure-interop.sh routing	2026-09-10T14:22:45Z
Data Secure group	xknx 3.20.0 DataSecure over TCPTunnel	TCP 127.0.0.1	passing	output/interop/captures/data-secure-tunnel-xknx-20260910T142256Z.log	xknx tunnels as 1.1.1 through the in-tree server, which passes the secured APDUs through untouched; an in-tree device (1.1.12) opens xknx's secured switch-on to 1/1/1, confirms it, and answers with a secured switch-off xknx takes as Data Secure; keyed from keyring.knxkeys; script/feature/knx/interop/run-data-secure-interop.sh tunnel	2026-09-10T14:22:56Z
Data Secure group	Calimero 3.0-M2 SecureApplicationLayer on JDK 21	UDP multicast 224.0.23.12:3671 on lo, inside KNX IP Secure routing	passing	output/interop/captures/data-secure-routing-calimero-20260910T181140Z.log	Calimero keyed by its own keyring reader from keyring.knxkeys: its SecureApplicationLayer (1.1.1) opens the in-tree router's secured switch-on to 1/1/1 from 1.1.12 and answers with secured switch-offs, which the in-tree router opens; no authentication failures, replays, missing keys or unencrypted frames counted; script/feature/knx/interop/run-data-secure-interop.sh routing calimero	2026-09-10T18:11:40Z
